1/(1000*Sqrt[10])	3.171695677730651e-103
1/(1000*10^(49/100))	1.6661488809935146e-100
1/(1000*10^(12/25))	7.586929955295487e-98
1/(1000*10^(47/100))	3.0044238444569683e-95
1/(1000*10^(23/50))	1.0379583052024922e-92
1/(1000*10^(9/20))	3.1381340836026403e-90
1/(1000*10^(11/25))	8.328265194741626e-88
1/(1000*10^(43/100))	1.945887045315533e-85
1/(1000*10^(21/50))	4.014393822807735e-83
1/(1000*10^(41/100))	7.333176972228288e-81
1/(1000*10^(2/5))	1.189424170978246e-78
1/(1000*10^(39/100))	1.717627345426997e-76
1/(1000*10^(19/50))	2.214201606547708e-74
1/(1000*10^(37/100))	2.554604682324501e-72
1/(1000*10^(9/25))	2.644510662759492e-70
1/(1000*10^(7/20))	2.462372782657709e-68
1/(1000*10^(17/50))	2.0672668045525555e-66
1/(1000*10^(33/100))	1.5685452630434648e-64
1/(1000*10^(8/25))	1.078091504541988e-62
1/(1000*10^(31/100))	6.727438173959508e-61
1/(1000*10^(3/10))	3.8197466556087015e-59
1/(1000*10^(29/100))	1.977623626156224e-57
1/(1000*10^(7/25))	9.35597817234184e-56
1/(1000*10^(27/100))	4.052870300114418e-54
1/(1000*10^(13/50))	1.6107767001215414e-52
1/(1000*10^(1/4))	5.885162364499955e-51
1/(1000*10^(6/25))	1.9804505653536245e-49
1/(1000*10^(23/100))	6.149857366607617e-48
1/(1000*10^(11/50))	1.765452696867117e-46
1/(1000*10^(21/100))	4.693681037630219e-45
1/(1000*10^(1/5))	1.1577006409140556e-43
1/(1000*10^(19/100))	2.6536624526946332e-42
1/(1000*10^(9/50))	5.662215679772217e-41
1/(1000*10^(17/100))	1.1264880302951445e-39
1/(1000*10^(4/25))	2.0929468655905378e-38
1/(1000*10^(3/20))	3.6371191122568412e-37
1/(1000*10^(7/50))	5.9208683280262526e-36
1/(1000*10^(13/100))	9.04248205162434e-35
1/(1000*10^(3/25))	1.2974642369411016e-33
1/(1000*10^(11/100))	1.7515614317313272e-32
1/(1000*10^(1/10))	2.2278210295060344e-31
1/(1000*10^(9/100))	2.6733090162809477e-30
1/(1000*10^(2/25))	3.0304529786654305e-29
1/(1000*10^(7/100))	3.249510475416366e-28
1/(1000*10^(3/50))	3.300122161803411e-27
1/(1000*10^(1/20))	3.1781979432383974e-26
1/(1000*10^(1/25))	2.9060003195614973e-25
1/(1000*10^(3/100))	2.5257313418667998e-24
1/(1000*10^(1/50))	2.0890880411104884e-23
1/(1000*10^(1/100))	1.6462444685601256e-22
1/1000	1.2373103954182284e-21
1/(100*10^(99/100))	8.879276814008049e-21
1/(100*10^(49/50))	6.090435300096305e-20
1/(100*10^(97/100))	3.9970324510073123e-19
1/(100*10^(24/25))	2.5123621565858974e-18
1/(100*10^(19/20))	1.5139402265865375e-17
1/(100*10^(47/50))	8.75455563288177e-17
1/(100*10^(93/100))	4.862569953427422e-16
1/(100*10^(23/25))	2.596582966451305e-15
1/(100*10^(91/100))	1.3342348399269229e-14
1/(100*10^(9/10))	6.602925063395781e-14
1/(100*10^(89/100))	3.14982271413605e-13
1/(100*10^(22/25))	1.4495882987543364e-12
1/(100*10^(87/100))	6.441202705978163e-12
1/(100*10^(43/50))	2.7656665297853992e-11
1/(100*10^(17/20))	1.1483708212800629e-10
1/(100*10^(21/25))	4.614718248899702e-10
1/(100*10^(83/100))	1.7960259893322477e-9
1/(100*10^(41/50))	6.774866471656586e-9
1/(100*10^(81/100))	2.4786697783365026e-8
1/(100*10^(4/5))	8.80173902198712e-8
1/(100*10^(79/100))	3.035605897567206e-7
1/(100*10^(39/50))	1.0175080511501915e-6
1/(100*10^(77/100))	3.3168650443940853e-6
