-4.1	0.5	0.13676786595661578
-4.1	0.51	0.13319888255726234
-4.1	0.52	0.12960380922417916
-4.1	0.53	0.12598307001609552
-4.1	0.54	0.12233703517670957
-4.1	0.55	0.11866602720968804
-4.1	0.56	0.11497032623870439
-4.1	0.5700000000000001	0.11125017474385367
-4.1	0.58	0.1075057817528994
-4.1	0.59	0.1037373265549515
-4.1	0.6	0.09994496199498254
-4.1	0.61	0.09612881739978088
-4.1	0.62	0.09228900117928668
-4.1	0.63	0.08842560314155865
-4.1	0.64	0.08453869655474307
-4.1	0.65	0.0806283399852062
-4.1	0.66	0.07669457893737902
-4.1	0.67	0.07273744731771647
-4.1	0.6799999999999999	0.06875696874246945
-4.1	0.69	0.06475315770659955
-4.1	0.7	0.06072602062911921
-4.1	0.71	0.056675556788344614
-4.1	0.72	0.05260175915898663
-4.1	0.73	0.04850461516163284
-4.1	0.74	0.04438410733397726
-4.1	0.75	0.040240213932093004
-4.1	0.76	0.03607290946912228
-4.1	0.77	0.03188216519793813
-4.1	0.78	0.02766794954361109
-4.1	0.79	0.0234302284908828
-4.1	0.8	0.019168965931277586
-4.1	0.81	0.014884123973996043
-4.1	0.8200000000000001	0.01057566322428315
-4.1	0.8300000000000001	0.00624354303258028
-4.1	0.8400000000000001	0.0018877217174162212
-4.1	0.8500000000000001	-0.0024918432353114657
-4.1	0.86	-0.006895194994291607
-4.1	0.87	-0.011322377223862234
-4.1	0.88	-0.015773433942270557
-4.1	0.89	-0.020248409395413648
-4.1	0.9	-0.024747347944519233
-4.1	0.91	-0.029270293966380576
-4.1	0.9199999999999999	-0.03381729176489722
-4.1	0.9299999999999999	-0.03838838549280311
-4.1	0.94	-0.042983619082566975
-4.1	0.95	-0.047603036185558056
-4.1	0.96	-0.05224668011865602
-4.1	0.97	-0.05691459381756459
-4.1	0.98	-0.061606819796161734
-4.1	0.99	-0.06632340011128353
-4.1	1.	-0.0710643763324006
-4.1	1.01	-0.07582978951569173
-4.1	1.02	-0.08061968018207576
-4.1	1.03	-0.0854340882987972
-4.1	1.04	-0.09027305326420677
-4.1	1.05	-0.09513661389540595
-4.1	1.06	-0.10002480841846298
-4.1	1.07	-0.1049376744609304
