1/1000	1.4160219162457937e-128
1/(100*10^(99/100))	2.853773167997774e-125
1/(100*10^(49/50))	4.8351141452731785e-122
1/(100*10^(97/100))	6.914284779913856e-119
1/(100*10^(24/25))	8.377557979970749e-116
1/(100*10^(19/20))	8.63287606178951e-113
1/(100*10^(47/50))	7.593856747866969e-110
1/(100*10^(93/100))	5.72272173215384e-107
1/(100*10^(23/25))	3.7077042332238804e-104
1/(100*10^(91/100))	2.072353559399689e-101
1/(100*10^(9/10))	1.0026261183473001e-98
1/(100*10^(89/100))	4.212669744786465e-96
1/(100*10^(22/25))	1.5421031185846088e-93
1/(100*10^(87/100))	4.933664846467292e-91
1/(100*10^(43/50))	1.3837502293982945e-88
1/(100*10^(17/20))	3.412549014347662e-86
1/(100*10^(21/25))	7.421725614231464e-84
1/(100*10^(83/100))	1.427507577800435e-81
1/(100*10^(41/50))	2.4350838571985055e-79
1/(100*10^(81/100))	3.694011023609494e-77
1/(100*10^(4/5))	4.996788861261632e-75
1/(100*10^(79/100))	6.04262629875816e-73
1/(100*10^(39/50))	6.5495276669691545e-71
1/(100*10^(77/100))	6.378610762336647e-69
1/(100*10^(19/25))	5.595408875800186e-67
1/(100*10^(3/4))	4.431602658688944e-65
1/(100*10^(37/50))	3.1763122220880655e-63
1/(100*10^(73/100))	2.0649335130260928e-61
1/(100*10^(18/25))	1.2203211463204695e-59
1/(100*10^(71/100))	6.570071242296373e-58
1/(100*10^(7/10))	3.2293501894564473e-56
1/(100*10^(69/100))	1.452143717166889e-54
1/(100*10^(17/25))	5.985952030258385e-53
1/(100*10^(67/100))	2.2664481681241177e-51
1/(100*10^(33/50))	7.897460466318362e-50
1/(100*10^(13/20))	2.5373436831915652e-48
1/(100*10^(16/25))	7.530497457304958e-47
1/(100*10^(63/100))	2.0682578088431086e-45
1/(100*10^(31/50))	5.266093548417442e-44
1/(100*10^(61/100))	1.2451571559218805e-42
1/(100*10^(3/5))	2.7386922686785183e-41
1/(100*10^(59/100))	5.612558480021347e-40
1/(100*10^(29/50))	1.0734354387047153e-38
1/(100*10^(57/100))	1.9189837980343877e-37
1/(100*10^(14/25))	3.2115478162457266e-36
1/(100*10^(11/20))	5.039150937871859e-35
1/(100*10^(27/50))	7.4239933108904886e-34
1/(100*10^(53/100))	1.0284373395951326e-32
1/(100*10^(13/25))	1.3414880656113156e-31
1/(100*10^(51/100))	1.649906376397564e-30
1/(100*Sqrt[10])	1.915916408319181e-29
1/(100*10^(49/100))	2.103326081726893e-28
1/(100*10^(12/25))	2.1857704378346464e-27
1/(100*10^(47/100))	2.1528453760344478e-26
1/(100*10^(23/50))	2.0121557331209732e-25
1/(100*10^(9/20))	1.7867708027385227e-24
1/(100*10^(11/25))	1.5091793695153256e-23
1/(100*10^(43/100))	1.2138704938442671e-22
1/(100*10^(21/50))	9.30779473656754e-22
1/(100*10^(41/100))	6.811404088070755e-21
1/(100*10^(2/5))	4.7621558462663305e-20
1/(100*10^(39/100))	3.1841892046324483e-19
1/(100*10^(19/50))	2.038277698335683e-18
1/(100*10^(37/100))	1.250339496305783e-17
1/(100*10^(9/25))	7.357219848043158e-17
1/(100*10^(7/20))	4.1565421983206077e-16
1/(100*10^(17/50))	2.256760404339713e-15
1/(100*10^(33/100))	1.178600119003557e-14
1/(100*10^(8/25))	5.925967949480256e-14
1/(100*10^(31/100))	2.8710396259940357e-13
1/(100*10^(3/10))	1.3414450360530802e-12
1/(100*10^(29/100))	6.049490159062045e-12
1/(100*10^(7/25))	2.6352819745946633e-11
1/(100*10^(27/100))	1.1097881657706175e-10
1/(100*10^(13/50))	4.521600964514318e-10
1/(100*10^(1/4))	1.78365301252582e-9
1/(100*10^(6/25))	6.817323705429589e-9
1/(100*10^(23/100))	2.526474974548545e-8
1/(100*10^(11/50))	9.084868767276948e-8
1/(100*10^(21/100))	3.171925468795607e-7
1/(100*10^(1/5))	1.0760172904561615e-6
1/(100*10^(19/100))	3.5488868539165435e-6
1/(100*10^(9/50))	0.000011387276628672237
1/(100*10^(17/100))	0.0000355692130291985
1/(100*10^(4/25))	0.00010822335017380849
1/(100*10^(3/20))	0.0003209368890711613
1/(100*10^(7/50))	0.0009281623658039437
1/(100*10^(13/100))	0.002619279546310517
1/(100*10^(3/25))	0.007216649471141099
1/(100*10^(11/100))	0.019423254485928337
1/(100*10^(1/10))	0.05109429308821911
1/(100*10^(9/100))	0.13143556666122197
1/(100*10^(2/25))	0.33079922246962357
1/(100*10^(7/100))	0.8149726923946076
1/(100*10^(3/50))	1.966344658321
1/(100*10^(1/20))	4.648581428599801
1/(100*10^(1/25))	10.77275955434316
1/(100*10^(3/100))	24.483648402537128
1/(100*10^(1/50))	54.59594415512434
1/(100*10^(1/100))	119.49995968503188
1/100	256.8514586182025
1/(10*10^(99/100))	542.3539350082265
1/(10*10^(49/50))	1125.5000697445605
1/(10*10^(97/100))	2296.3692322725574
1/(10*10^(24/25))	4608.281034943463
1/(10*10^(19/20))	9099.153646674398
1/(10*10^(47/50))	17684.29987358442
1/(10*10^(93/100))	33841.99418163646
1/(10*10^(23/25))	63790.79732762126
1/(10*10^(91/100))	118479.56068141315
1/(10*10^(9/10))	216899.25469260936
1/(10*10^(89/100))	391511.44702892203
1/(10*10^(22/25))	697014.7107155476
1/(10*10^(87/100))	1.2242964717457714e6
1/(10*10^(43/50))	2.122322599663094e6
1/(10*10^(17/20))	3.6320035068497383e6
1/(10*10^(21/25))	6.137875802148894e6
1/(10*10^(83/100))	1.0245918428912804e7
1/(10*10^(41/50))	1.6899185090751596e7
1/(10*10^(81/100))	2.75474242966912e7
1/(10*10^(4/5))	4.439275911594106e7
1/(10*10^(79/100))	7.074113383602741e7
1/(10*10^(39/50))	1.114989595525215e8
1/(10*10^(77/100))	1.7386658157207376e8
1/(10*10^(19/25))	2.682952285310651e8
1/(10*10^(3/4))	4.097923464393461e8
1/(10*10^(37/50))	6.196819798266971e8
1/(10*10^(73/100))	9.279523576054409e8
1/(10*10^(18/25))	1.376352161249434e9
1/(10*10^(71/100))	2.0224300035152779e9
1/(10*10^(7/10))	2.9447480989451704e9
1/(10*10^(69/100))	4.2495403475902786e9
1/(10*10^(17/25))	6.079126129284514e9
1/(10*10^(67/100))	8.622432687705276e9
1/(10*10^(33/50))	1.2128019333734798e10
1/(10*10^(13/20))	1.6920033657835508e10
1/(10*10^(16/25))	2.341756094092667e10
1/(10*10^(63/100))	3.2157850045300106e10
1/(10*10^(31/50))	4.3823908991660385e10
1/(10*10^(61/100))	5.927695770936397e10
1/(10*10^(3/5))	7.959420052058012e10
1/(10*10^(59/100))	1.0611233329339368e11
1/(10*10^(29/50))	1.404771266405473e11
1/(10*10^(57/100))	1.8469932428349954e11
1/(10*10^(14/25))	2.4121696266882492e11
1/(10*10^(11/20))	3.129640529528559e11
1/(10*10^(27/50))	4.0344536952830225e11
1/(10*10^(53/100))	5.168168616449741e11
1/(10*10^(13/25))	6.579709491492922e11
1/(10*10^(51/100))	8.32625684298074e11
1/(10*Sqrt[10])	1.0474164649915566e12
1/(10*10^(49/100))	1.3099886782294248e12
1/(10*10^(12/25))	1.6290893452355103e12
1/(10*10^(47/100))	2.0146555419485427e12
1/(10*10^(23/50))	2.477897091902182e12
1/(10*10^(9/20))	3.0313707850669062e12
1/(10*10^(11/25))	3.6890431784106123e12
1/(10*10^(43/100))	4.466338893951084e12
1/(10*10^(21/50))	5.380171259390992e12
1/(10*10^(41/100))	6.448952145259877e12
1/(10*10^(2/5))	7.692577949279924e12
1/(10*10^(39/100))	9.13238886961234e12
1/(10*10^(19/50))	1.0791098786615082e13
1/(10*10^(37/100))	1.2692694344509348e13
1/(10*10^(9/25))	1.486229920898882e13
1/(10*10^(7/20))	1.7326006243316504e13
1/(10*10^(17/50))	2.011067325290691e13
1/(10*10^(33/100))	2.3243684861871094e13
1/(10*10^(8/25))	2.6752680757447582e13
1/(10*10^(31/100))	3.0665252226669727e13
1/(10*10^(3/10))	3.500860961574467e13
1/(10*10^(29/100))	3.9809224151200516e13
1/(10*10^(7/25))	4.509244834005037e13
1/(10*10^(27/100))	5.088211989180617e13
1/(10*10^(13/50))	5.720015475665456e13
1/(10*10^(1/4))	6.406613543143288e13
1/(10*10^(6/25))	7.149690113026234e13
1/(10*10^(23/100))	7.950614673456572e13
1/(10*10^(11/50))	8.81040376156871e13
1/(10*10^(21/100))	9.729684745400542e13
1/(10*10^(1/5))	1.07086626056755e14
1/(10*10^(19/100))	1.1747090390220578e14
1/(10*10^(9/50))	1.284424397139334e14
1/(10*10^(17/100))	1.3998901680307511e14
1/(10*10^(4/25))	1.520932932198411e14
1/(10*10^(3/20))	1.6473270994262362e14
1/(10*10^(7/50))	1.778794604211962e14
1/(10*10^(13/100))	1.9150052379950238e14
1/(10*10^(3/25))	2.055577654942696e14
1/(10*10^(11/100))	2.200080910460161e14
1/(10*10^(1/10))	2.348036877183484e14
1/(10*10^(9/100))	2.498923051393445e14
1/(10*10^(2/25))	2.65217606646904e14
1/(10*10^(7/100))	2.8071957082843147e14
1/(10*10^(3/50))	2.963349571330061e14
1/(10*10^(1/20))	3.1199778842560594e14
1/(10*10^(1/25))	3.2763989913834325e14
1/(10*10^(3/100))	3.431915006874231e14
1/(10*10^(1/50))	3.58581773118475e14
1/(10*10^(1/100))	3.737394724136739e14
1/10	3.8859354545517244e14
10^(-99/100)	4.0307374460462006e14
10^(-49/50)	4.171112339627294e14
10^(-97/100)	4.306391796103432e14
10^(-24/25)	4.435933164949935e14
10^(-19/20)	4.5591248510400844e14
10^(-47/50)	4.67539131644302e14
10^(-93/100)	4.7841976611596494e14
10^(-23/25)	4.885053734063161e14
10^(-91/100)	4.977517733270103e14
